,Name,Address,Geocodes
235,Bethlehem Area School Trnsprtn,"1901 Chester Rd, Bethlehem, PA 18017, USA","{'lat': 40.662988, 'lng': -75.3455968}"
236,Atlantic Express,"1620 New Hwy, Farmingdale, NY 11735, USA","{'lat': 40.743856, 'lng': -73.41751459999999}"
237,First Student Bus Co,"325 Miller Pl, Mt Vernon, NY 10550, USA","{'lat': 40.8980453, 'lng': -73.8244647}"
238,First Student Inc,"82 NY-25A, Shoreham, NY 11786, USA","{'lat': 40.9455259, 'lng': -72.8935923}"
239,A J Myers & Sons Inc,"500 Brown Ave, Columbus, GA 31906, USA","{'lat': 32.4554483, 'lng': -84.9605467}"
240,Fullington Auto Bus Co,"211 State College Blvd, Anaheim, CA 92806, USA","{'lat': 33.8392553, 'lng': -117.8895808}"
241,Bloom's Bus Lines Inc,"10 Oak St, Bridgeport, CT 06604, USA","{'lat': 41.1846703, 'lng': -73.1989674}"
242,"Woodlawn Motor Coach, Inc","6523 Baltimore National Pike, Catonsville, MD 21228, USA","{'lat': 39.2861385, 'lng': -76.7642939}"
243,George Dapper Inc,"1020 Green St, Iselin, NJ 08830, USA","{'lat': 40.569933, 'lng': -74.311386}"
244,George Dapper Inc,"2595 E State St, Hamilton Township, NJ 08619, USA","{'lat': 40.2460364, 'lng': -74.7129023}"
245,Eshelman Transportation Inc,"4339 Morgantown Rd, Mohnton, PA 19540, USA","{'lat': 40.2172504, 'lng': -75.9103714}"
246,Carrier Management Corp,"1850 Gill Hall Rd, Finleyville, PA 15332, USA","{'lat': 40.2709029, 'lng': -79.950518}"
247,"We Transport, Inc.","75 Commercial St, Brockton, MA 02302, USA","{'lat': 42.08347380000001, 'lng': -71.0160217}"
248,Durham School Services,"10200 Bell Ave SE, Albuquerque, NM 87123, USA","{'lat': 35.0690856, 'lng': -106.5344466}"
249,"Moffit Bros, LLC","918 Lostine River Rd, Lostine, OR 97857, USA","{'lat': 45.4837268, 'lng': -117.4308588}"
250,"All County Bus, LLC","70 Fernbrook St, Yonkers, NY 10705, USA","{'lat': 40.924273, 'lng': -73.90654239999999}"
251,Vhs Transportation Co. Inc,"7 Plymouth Dr, Massapequa, NY 11758, USA","{'lat': 40.69833089999999, 'lng': -73.429416}"
252,Delta Service Inc,"7 Plymouth Dr, Massapequa, NY 11758, USA","{'lat': 40.69833089999999, 'lng': -73.429416}"
253,Levy School Bus Company Inc,"114 E Broad St, Bethlehem, PA 18018, USA","{'lat': 40.621939, 'lng': -75.374724}"
