,Name,Address,Geocodes
129,Dousman Transport Co Inc,"N77W30902 Hartman Ct, Hartland, WI 53029, USA","{'lat': 43.1601108, 'lng': -88.3580784}"
130,Oconomowoc Town Police Dept,"W359N6812 Brown St, Oconomowoc, WI 53066, USA","{'lat': 43.14300739999999, 'lng': -88.4601836}"
131,Oconomowoc Transport,"W360 N8515 Brown St, Oconomowoc, WI 53066, USA","{'lat': 43.1769714, 'lng': -88.4622626}"
132,Johnson School Bus Svc,"N87W17391 Main St, Menomonee Falls, WI 53051, USA","{'lat': 43.17704699999999, 'lng': -88.125801}"
133,Jones Coach Travel,"511 S Lincoln St, Lowell, AR 72745, USA","{'lat': 36.2462203, 'lng': -94.1322058}"
134,Jones Travel & Tour,"511 S Lincoln St, Lowell, AR 72745, USA","{'lat': 36.2462203, 'lng': -94.1322058}"
135,Ron & Rollie Bast Auctioneers,"W201N13900 W Fond Du Lac Ave, Richfield, WI 53076, USA","{'lat': 43.2711403, 'lng': -88.15833669999999}"
136,Johnson School Bus Service,"808 Valley Rd, Watchung, NJ 07069, USA","{'lat': 40.6550087, 'lng': -74.4228385}"
137,Dousman Transport Co. Inc,"1736 Hobbs Dr, Delavan, WI 53115, USA","{'lat': 42.6350159, 'lng': -88.6133151}"
138,Durham School Service,"17600 W Liberty Ln, New Berlin, WI 53146, USA","{'lat': 42.9992649, 'lng': -88.13291339999999}"
139,Durham School Services,"17600 W Liberty Ln, New Berlin, WI 53146, USA","{'lat': 42.9992649, 'lng': -88.13291339999999}"
140,Johnson School Bus Service,"2151 W Washington St, Tempe, AZ 85284, USA","{'lat': 33.4449417, 'lng': -111.9590693}"
141,Dousman Transport,"313 S Main St, Verona, WI 53593, USA","{'lat': 42.9864778, 'lng': -89.5331578}"
142,Riteway Bus Service Inc,"7433 S 10th St, Oak Creek, WI 53154, USA","{'lat': 42.9098129, 'lng': -87.928054}"
143,Riteway Bus Svc Inc,"7433 S 10th St, Oak Creek, WI 53154, USA","{'lat': 42.9098129, 'lng': -87.928054}"
144,Dousman Transport Co. Inc,"120 N Oakridge Dr, Cleveland, TX 77328, USA","{'lat': 30.3689069, 'lng': -95.14797019999999}"
145,"Dousman Transport Co., Inc","120 N Oakridge Dr, Cleveland, TX 77328, USA","{'lat': 30.3689069, 'lng': -95.14797019999999}"
146,Coach USA,"1520 Arcadian Ave, Waukesha, WI 53186, USA","{'lat': 43.014523, 'lng': -88.20677119999999}"
147,Dousman Transport Co Inc,"515 Elizabeth St, Petoskey, MI 49770, USA","{'lat': 45.37234360000001, 'lng': -84.96001199999999}"
148,Hank's Transportation Co,"118 Pleasant Ln, Milford, PA 18337, USA","{'lat': 41.312748, 'lng': -74.8411866}"
149,Thomas Bus Service,"515 Elizabeth St, Petoskey, MI 49770, USA","{'lat': 45.37234360000001, 'lng': -84.96001199999999}"
150,Nelson's Bus Service Inc.,"W8608 Willis Ray Rd, Whitewater, WI 53190, USA","{'lat': 42.8174358, 'lng': -88.7235233}"
151,"Nelson's Bus Service, Inc","W8608 Willis Ray Rd, Whitewater, WI 53190, USA","{'lat': 42.8174358, 'lng': -88.7235233}"
152,Nelson's Bus Service,"W8608 Willis Ray Rd, Whitewater, WI 53190, USA","{'lat': 42.8174358, 'lng': -88.7235233}"
