,Name,Address,Geocodes
87,Pierce Coach Line Inc,"37 Mineola Ave, Hicksville, NY 11801, USA","{'lat': 40.7573612, 'lng': -73.50647099999999}"
88,John Bosch Inc,"243 Deer Park Ave, Babylon, NY 11702, USA","{'lat': 40.7001176, 'lng': -73.3222837}"
89,Birnie Bus Service Inc,"248 Otis St, Rome, NY 13441, USA","{'lat': 43.2188056, 'lng': -75.4058831}"
90,Crook County School District,"1820 NW Lamonta Rd, Prineville, OR 97754, USA","{'lat': 44.3177184, 'lng': -120.8611495}"
91,Gateway Transit Ltd,"448 Sharrotts Rd, Staten Island, NY 10309, USA","{'lat': 40.5374327, 'lng': -74.23421069999999}"
92,Brown Coach Inc,"12 S Bridge Ln, Key Largo, FL 33037, USA","{'lat': 25.2988332, 'lng': -80.289425}"
93,Monroe school transportation,"970 Emerson St, Rochester, NY 14606, USA","{'lat': 43.1742406, 'lng': -77.6562075}"
94,Edmond schools transportation,"125 N State St, Genoa, IL 60135, USA","{'lat': 42.09904179999999, 'lng': -88.69843639999999}"
95,First student,"13000 SW Hall Blvd, Tigard, OR 97223, USA","{'lat': 45.42534149999999, 'lng': -122.7653583}"
96,First student inc,"801 Runnels St, Big Spring, TX 79720, USA","{'lat': 32.2481663, 'lng': -101.4729812}"
97,KRISE BUS SVC INC,"119 Golfview Ln, Carpentersville, IL 60110, USA","{'lat': 42.1112818, 'lng': -88.2490818}"
98,TRANS GROUP LLC,"56 W Church St, Denver, PA 17517, USA","{'lat': 40.217348, 'lng': -76.12846689999999}"
99,Mid City Transit Corp,"202 E Commonwealth Ave, Fullerton, CA 92836, USA","{'lat': 33.8701006, 'lng': -117.9217112}"
100,Trans Group Llc,"56 W Church St, Denver, PA 17517, USA","{'lat': 40.217348, 'lng': -76.12846689999999}"
101,Jordan Transportation,"290 Main St, Buffalo, NY 14202, USA","{'lat': 42.8820127, 'lng': -78.875756}"
102,Krise Bus Svc Inc,"119 Golfview Ln, Carpentersville, IL 60110, USA","{'lat': 42.1112818, 'lng': -88.2490818}"
103,A J Myers & Sons Inc,"13413 LA-422, Norwood, LA 70761, USA","{'lat': 30.9773547, 'lng': -90.9416222}"
104,Leversons Transportation Serv,"76 Carlton St, Buffalo, NY 14203, USA","{'lat': 42.8989526, 'lng': -78.8666195}"
105,E & L Transportation,"155 Virginia St, St Paul, MN 55102, USA","{'lat': 44.9459634, 'lng': -93.1150329}"
106,Saftey Driver Training,"303 Balsam Dr, Severna Park, MD 21146, USA","{'lat': 39.0787191, 'lng': -76.56370150000001}"
107,Beatrice K Churchey,"4741 Churchey Rd, Sharpsburg, MD 21782, USA","{'lat': 39.44715, 'lng': -77.71702499999999}"
108,Debra S Walk,"6201 Kenyon Dr, Louisville, KY 40272, USA","{'lat': 38.0941802, 'lng': -85.8786258}"
109,School Bus Shirts,"6021 Ring Ln, Milford, OH 45150, USA","{'lat': 39.2012297, 'lng': -84.2189255}"
110,Debaere Bus Company,"17877 Panama Ave, Prior Lake, MN 55372, USA","{'lat': 44.6902789, 'lng': -93.432121}"
111,Aa Bus Service Llc,"Rua das Fontainhas n 91, 2410-147 Leiria, Portugal","{'lat': 39.7617884, 'lng': -8.7827823}"
112,Doyle Creel Jr,"919 Poinsetta Ln, Kirkwood, MO 63122, USA","{'lat': 38.5951762, 'lng': -90.41831719999999}"
113,Jcr Transportation Inc,"38 Redbrook Rd, Kings Point, NY 11024, USA","{'lat': 40.813767, 'lng': -73.7416029}"
114,Lenoirs Transport Inc,"10-32 Cypress Ave, Flushing, NY 11385, USA","{'lat': 40.697209, 'lng': -73.901787}"
115,St Judes Transportation,"90 James St, Etobicoke, ON M8W 1L6, Canada","{'lat': 43.5901477, 'lng': -79.5421229}"
116,Impiccini School Buses,"73 Low Hill Rd, Brownsville, PA 15417, USA","{'lat': 40.0236423, 'lng': -79.90991489999999}"
117,On The Go Kids Inc,"208 Wren Ct, Downingtown, PA 19335, USA","{'lat': 40.0190415, 'lng': -75.6879203}"
118,Krapf School Buses,"120 Springton Rd, Glenmoore, PA 19343, USA","{'lat': 40.0525144, 'lng': -75.7844763}"
119,First Student Inc,"635 Mohawk Trail Ste A, Shelburne Falls, MA 01370, USA","{'lat': 42.5840748, 'lng': -72.7018267}"
120,Dee Bus Service Inc,"13 S Rd, Enfield, CT 06082, USA","{'lat': 41.9855924, 'lng': -72.5482007}"
121,First Student Inc,"55 Russell St, Melrose, MA 02176, USA","{'lat': 42.4515491, 'lng': -71.0749636}"
122,Transprttion Stor Slutions Inc,"465 Boston Turnpike, Shrewsbury, MA 01545, USA","{'lat': 42.2771261, 'lng': -71.7225808}"
123,A A Transportation Co,"Eastsound, WA 98245, USA","{'lat': 48.696627, 'lng': -122.9061079}"
124,First Student Inc,"151 Oak St, Ashland, MA 01721, USA","{'lat': 42.2752798, 'lng': -71.4932199}"
125,First Student Inc,"100 Hartwell St #2, West Boylston, MA 01583, USA","{'lat': 42.3353537, 'lng': -71.77596369999999}"
126,Bedford Charter Svc,"11 Railroad Ave, Stillwater, NY 12170, USA","{'lat': 42.9335, 'lng': -73.6659166}"
127,First Student Inc,"352 Concord Rd, Glen Mills, PA 19342, USA","{'lat': 39.8693674, 'lng': -75.4929781}"
128,Jfk Transportation Inc,"3201 W Main St, Independence, KS 67301, USA","{'lat': 37.2253052, 'lng': -95.7473029}"
129,Coppola Bus Inc,"21 S Central St, Buckner, MO 64016, USA","{'lat': 39.1371274, 'lng': -94.1995639}"
130,Coppola Inc,"21 S Central St, Buckner, MO 64016, USA","{'lat': 39.1371274, 'lng': -94.1995639}"
131,"Nrt Bus, Inc","55 Hampshire Rd, Rockville Centre, NY 11570, USA","{'lat': 40.6664762, 'lng': -73.62512840000001}"
132,Trombly Motor Coach Svc Inc,"1480 Broadway #1, San Diego, CA 92101, USA","{'lat': 32.7159469, 'lng': -117.1508779}"
133,Healey Bus Inc,"34 Hanson St, Lynn, MA 01905, USA","{'lat': 42.4521212, 'lng': -70.95194000000001}"
134,Tewksbury Transit Incorporated,"555 Whipple Rd, Pascoag, RI 02859, USA","{'lat': 41.97636989999999, 'lng': -71.7232992}"
135,Tewksbury Transit Inc,"555 Whipple Rd, Pascoag, RI 02859, USA","{'lat': 41.97636989999999, 'lng': -71.7232992}"
136,Salter Transportation Inc,"196 Scotland Rd, Newbury, MA 01951, USA","{'lat': 42.7864808, 'lng': -70.9170776}"
137,Vendetti Buses,"1001 S Main St, Milpitas, CA 95035, USA","{'lat': 37.4169766, 'lng': -121.9042851}"
138,Adams Motor Transportation Inc,"631 Walk Hill St, Mattapan, MA 02126, USA","{'lat': 42.2798984, 'lng': -71.0969688}"
139,Vocell Bus Co,"378 Commercial St UNIT E, Malden, MA 02148, USA","{'lat': 42.4132528, 'lng': -71.0747008}"
140,Mystic Service Inc,"1011 Fellsway, Medford, MA 02155, USA","{'lat': 42.4161909, 'lng': -71.0839933}"
141,First Student Inc,"157 E Grove St, Middleborough, MA 02346, USA","{'lat': 41.8707964, 'lng': -70.8841254}"
142,School Trnsp Assn Msschusettes,"76 N Bedford St #4, East Bridgewater, MA 02333, USA","{'lat': 42.0353065, 'lng': -70.95842689999999}"
143,First Student Inc,"142 Oak Hill Way, Brockton, MA 02301, USA","{'lat': 42.0516171, 'lng': -71.0038563}"
144,First Student Inc,"15 York Ave, York, ON M6N 2V1, Canada","{'lat': 43.6854684, 'lng': -79.4882602}"
145,C & W Transportation Inc,"240 Bedford St Suite #9, Lexington, MA 02420, USA","{'lat': 42.4623567, 'lng': -71.2406999}"
146,First Student Inc,"68 Industrial Blvd #6, Hanson, MA 02341, USA","{'lat': 42.0526977, 'lng': -70.9040619}"
147,Vhs Transportation Co Inc,"7 Plymouth Dr, Massapequa, NY 11758, USA","{'lat': 40.69833089999999, 'lng': -73.429416}"
148,First Student Inc,"1421 S Bedford St, Los Angeles, CA 90035, USA","{'lat': 34.0534973, 'lng': -118.3809595}"
149,First Student Inc,"536 Thomas B Landers Rd #1, East Falmouth, MA 02536, USA","{'lat': 41.6149004, 'lng': -70.6035721}"
150,Tremblay's Bus Co,"84 Lawrence St, New Haven, CT 06511, USA","{'lat': 41.3177195, 'lng': -72.91152}"
151,First Student Inc,"241 Attucks Ln, Hyannis, MA 02601, USA","{'lat': 41.6789076, 'lng': -70.3146795}"
152,First Student Inc,"78 Eldredge Park Way, Orleans, MA 02653, USA","{'lat': 41.7808798, 'lng': -69.9896024}"
153,Durham School Svc,"2 Katlyn Dr, East Freetown, MA 02717, USA","{'lat': 41.77357689999999, 'lng': -70.943973}"
154,Blooms Bus Lines Inc,"28 Grosvenor St, Springfield, MA 01107, USA","{'lat': 42.1132609, 'lng': -72.5994316}"
155,First Student Inc,"327 Market St, Lewes, DE 19958, USA","{'lat': 38.7740453, 'lng': -75.1416888}"
156,Valley Transportation,"664 Front St, Lititz, PA 17543, USA","{'lat': 40.1557639, 'lng': -76.28857020000001}"
157,First Student,"3 Ricom Way, Providence, RI 02909, USA","{'lat': 41.8107751, 'lng': -71.44221569999999}"
158,First Student Inc,"Burke St, Winston-Salem, NC 27101, USA","{'lat': 36.09530609999999, 'lng': -80.2573693}"
159,First Student Inc,"592 Laconia Rd, Belmont, NH 03220, USA","{'lat': 43.4666542, 'lng': -71.4690348}"
160,First Student Inc,"49 Whittemore Farm Rd, Swanzey, NH 03446, USA","{'lat': 42.8996522, 'lng': -72.31145649999999}"
161,W W Berry Transportation Co,"10 Moore St, Mauldin, SC 29662, USA","{'lat': 34.7832255, 'lng': -82.3026211}"
162,Ww Berrys Transportation Inc,"97 Moore St, Brooklyn, NY 11206, USA","{'lat': 40.704056, 'lng': -73.9418374}"
163,First Student Inc,"97 Epping Rd B, Exeter, NH 03833, USA","{'lat': 42.9890727, 'lng': -70.9661503}"
164,First Student,"115 Industrial Park Rd, Saco, ME 04072, USA","{'lat': 43.5400959, 'lng': -70.4380141}"
165,Seacoast Learning Cllbrtv,"87 MA-27, Wayland, MA 01778, USA","{'lat': 42.3733115, 'lng': -71.3722913}"
166,Seacoast Learning Collaborative,"87 MA-27, Wayland, MA 01778, USA","{'lat': 42.3733115, 'lng': -71.3722913}"
167,Goffstown Truck Ctr,"35 Industrial Way # 102, Rochester, NH 03867, USA","{'lat': 43.311533, 'lng': -71.000798}"
168,Safeway Training & Trnsp Svcs,"62 Newton Junction Rd, Kingston, NH 03848, USA","{'lat': 42.8698359, 'lng': -71.0686956}"
169,Safeway Training & Trnsprtn,"62 Newton Junction Rd, Kingston, NH 03848, USA","{'lat': 42.8698359, 'lng': -71.0686956}"
170,U Haul Co,"965 Chadbourne Rd, Standish, ME 04084, USA","{'lat': 43.8094715, 'lng': -70.4684097}"
171,Hudson Bus Lines Inc,"280 Bartlett St, Reno, NV 89512, USA","{'lat': 39.545017, 'lng': -119.8127352}"
172,John T Cyr & Sons Inc.,"153 Gilman Falls Ave, Old Town, ME 04468, USA","{'lat': 44.9429798, 'lng': -68.6698341}"
173,John T Cyr & Sons Inc,"PO Box 368, Galena, KS 66739, USA","{'lat': 37.0758952, 'lng': -94.6396714}"
174,Rsu #20,"6 Lions Way, North Windham, CT 06256, USA","{'lat': 41.734517, 'lng': -72.1893271}"
