,Name,Address,Geocodes
92,"School Services and Leasing, Inc.","12036 Leavenworth Rd, Kansas City, KS 66109, USA","{'lat': 39.144668, 'lng': -94.858818}"
93,"School Services and Leasing, Inc.","3410 W 30th St, Wichita, KS 67217, USA","{'lat': 37.6395025, 'lng': -97.3826624}"
94,Durham School Services,"17327 US-71, Belton, MO 64012, USA","{'lat': 38.8087557, 'lng': -94.4982502}"
95,Durham School Services L P,"2500 Wheatsheaf Ln, Philadelphia, PA 19137, USA","{'lat': 39.9951296, 'lng': -75.0884449}"
96,"School Services and Leasing, Inc.","250 West 53rd St N, Park City, KS 67204, USA","{'lat': 37.781994, 'lng': -97.3388705}"
97,Durham School Services L P,"3350 Morgan Ford Rd, St. Louis, MO 63116, USA","{'lat': 38.5973715, 'lng': -90.2617842}"
98,"Barker, Inc.","11656 PA-85, Kittanning, PA 16201, USA","{'lat': 40.813961, 'lng': -79.46189799999999}"
99,"Krise Bus Service, Inc.","6850 US-22, New Florence, PA 15944, USA","{'lat': 40.4464149, 'lng': -79.0964904}"
100,"Krise Bus Service, Inc.","119 Golfview Ln, Carpentersville, IL 60110, USA","{'lat': 42.1112818, 'lng': -88.2490818}"
101,"Palmeri Transportation, Inc.","312 Independence Ave, Dearing, KS 67340, USA","{'lat': 37.0557152, 'lng': -95.7107214}"
102,School Transportation Association of Massachusettes,"76 N Bedford St #4, East Bridgewater, MA 02333, USA","{'lat': 42.0353065, 'lng': -70.95842689999999}"
103,Laurel Enterprises Inc,"117 NB-530, Grande-Digue, NB E4R 4M2, Canada","{'lat': 46.2847128, 'lng': -64.5764271}"
104,Advanced Technical Intelligence Center For Human Capital Development,"2685 Hibiscus Way #1, Beavercreek, OH 45431, USA","{'lat': 39.7690937, 'lng': -84.0698965}"
105,Rainbow Transit Inc.,"2360 Vandenberg Dr Ste 3C24, Air Force Academy, CO 80840, USA","{'lat': 39.0099458, 'lng': -104.8864898}"
106,Laidlaw Transit Inc,"1023 NC-90, Taylorsville, NC 28681, USA","{'lat': 35.9222735, 'lng': -81.1934954}"
107,D B Fisher Tours & Trav...,"1715 Grace Ave, Lebanon, PA 17046, USA","{'lat': 40.3797208, 'lng': -76.445734}"
108,Student Transportation ...,"20 E Gait Dr, Slippery Rock, PA 16057, USA","{'lat': 41.1116993, 'lng': -80.05949050000001}"
109,Johnson City Central Sc...,"666 Reynolds Rd, Johnson City, NY 13790, USA","{'lat': 42.134542, 'lng': -75.9685159}"
110,First Student,"51 Lowell Rd, Salem, NH 03079, USA","{'lat': 42.7647176, 'lng': -71.2427345}"
111,First Student,"473 NJ-31, Hampton, NJ 08827, USA","{'lat': 40.718167, 'lng': -74.9710608}"
112,Liverpool Central Schools,"4101 Long Branch Rd, Liverpool, NY 13090, USA","{'lat': 43.1284083, 'lng': -76.2310545}"
113,Johnson City Middle School,"666 Reynolds Rd, Johnson City, NY 13790, USA","{'lat': 42.134542, 'lng': -75.9685159}"
114,Johnson City Central Sch Dist,"666 Reynolds Rd, Johnson City, NY 13790, USA","{'lat': 42.134542, 'lng': -75.9685159}"
115,Johnson City Middle Sch...,"666 Reynolds Rd, Johnson City, NY 13790, USA","{'lat': 42.134542, 'lng': -75.9685159}"
116,We Transport,"75 Commercial St, Brockton, MA 02302, USA","{'lat': 42.08347380000001, 'lng': -71.0160217}"
117,Liverpool Central Schoo...,"4101 Long Branch Rd, Liverpool, NY 13090, USA","{'lat': 43.1284083, 'lng': -76.2310545}"
118,Leibensperger Transport...,"3096 PA-100, Allentown, PA 18104, USA","{'lat': 40.5197317, 'lng': -75.57361}"
119,Student Transportation ...,"915 Mt Jackson Rd, New Castle, PA 16102, USA","{'lat': 40.9645669, 'lng': -80.4306093}"
120,Lubriquip Inc,"10 Thomas Cir NW, Washington, D.C., DC 20005, USA","{'lat': 38.9062046, 'lng': -77.03089609999999}"
121,"Student Transportation of America, Inc.","620 Pear St, Reading, PA 19601, USA","{'lat': 40.3451272, 'lng': -75.9346092}"
122,VST Chemical Corp,"20 Wood Rd, Sands Point, NY 11050, USA","{'lat': 40.842334, 'lng': -73.6863858}"
123,LEECA,"26894 Schady Rd, Olmsted Township, OH 44138, USA","{'lat': 41.363611, 'lng': -81.92380399999999}"
124,Atlantic Express Transportation Corp.,"1620 New Hwy, Farmingdale, NY 11735, USA","{'lat': 40.743856, 'lng': -73.41751459999999}"
125,Lockheed Martin Corporation,"90 James St, Etobicoke, ON M8W 1L6, Canada","{'lat': 43.5901477, 'lng': -79.5421229}"
126,National Express Corp,"3071 Wildcat Rd, Vermillion, KS 66544, USA","{'lat': 39.66411129999999, 'lng': -96.24440969999999}"
127,"FirstGroup America, Inc.","1548 E 23rd St Ste C, Lawrence, KS 66046, USA","{'lat': 38.9434894, 'lng': -95.21582049999999}"
128,Lynnette Valenti,"748 Mayfair Ln, Carmel, IN 46032, USA","{'lat': 39.9706236, 'lng': -86.1766975}"
129,Greyhound Lines Inc,"1886 W Main St, Troy, OH 45373, USA","{'lat': 40.054765, 'lng': -84.239694}"
130,"FirstGroup America, Inc.","15 York Ave, York, ON M6N 2V1, Canada","{'lat': 43.6854684, 'lng': -79.4882602}"
131,City of Brockton School Dept,"43 Crescent St, Brockton, MA 02301, USA","{'lat': 42.08089409999999, 'lng': -71.0190398}"
132,R Fiore Bus Service Inc,"210 New Boston St, Woburn, MA 01801, USA","{'lat': 42.5166502, 'lng': -71.14587279999999}"
133,Holy Name School,"37 Alderman St, Springfield, MA 01108, USA","{'lat': 42.0883421, 'lng': -72.5590706}"
134,Village School Bus,"125 Clinton Rd, Cibolo, TX 78108, USA","{'lat': 29.56364039999999, 'lng': -98.20920699999999}"
135,Laidlaw Transit Inc,"343 Pleasant Lake Ave, Harwich, MA 02645, USA","{'lat': 41.7090299, 'lng': -70.0781063}"
136,Bancroft School,"110 Shore Dr, Myrtle Beach, SC 29572, USA","{'lat': 33.7583939, 'lng': -78.7926825}"
137,Laidlaw Transit Inc,"16 Benson St, Albany, NY 12206, USA","{'lat': 42.6646215, 'lng': -73.7758013}"
138,Vendetti Bus,"411 W Central St, Franklin, MA 02038, USA","{'lat': 42.0882657, 'lng': -71.4138876}"
139,Transcom School Bus Service,"772 N Main St, Akron, OH 44310, USA","{'lat': 41.106382, 'lng': -81.5111529}"
140,Vendetti Motors,"411 W Central St, Franklin, MA 02038, USA","{'lat': 42.0882657, 'lng': -71.4138876}"
141,Elms College Bookstore,"291 Springfield St, Agawam, MA 01001, USA","{'lat': 42.0878591, 'lng': -72.639332}"
142,Transcomm Inc,"772 N Main St, Akron, OH 44310, USA","{'lat': 41.106382, 'lng': -81.5111529}"
143,Laidlaw Education Services,"730 Fuller Rd, Linden, NJ 07036, USA","{'lat': 40.6262494, 'lng': -74.2671893}"
144,Laidlaw Transit Inc,"648 S Lake St, Cadillac, MI 49601, USA","{'lat': 44.245427, 'lng': -85.39937690000001}"
145,"FirstGroup America, Inc.","142 Oak Hill Way, Brockton, MA 02301, USA","{'lat': 42.0516171, 'lng': -71.0038563}"
146,First Student Inc,"99 Derby St #103, Hingham, MA 02043, USA","{'lat': 42.1813349, 'lng': -70.90717}"
147,First Student Inc,"100 Hartwell St, West Boylston, MA 01583, USA","{'lat': 42.3353537, 'lng': -71.77596369999999}"
148,Aaceoc Inc,"282 Whitaker Rd, Pasadena, MD 21122, USA","{'lat': 39.1370789, 'lng': -76.573341}"
149,First Student Inc,"1807 N Fountain Green Rd, Bel Air, MD 21015, USA","{'lat': 39.575987, 'lng': -76.337043}"
150,S.A.D. #23/S.A.D. #38 School District,"44 Plymouth Rd, Port Washington, NY 11050, USA","{'lat': 40.82436819999999, 'lng': -73.6771892}"
151,Transportation Serv,"1213 Kipke Dr, Ann Arbor, MI 48104, USA","{'lat': 42.266623, 'lng': -83.7450886}"
152,C F Transportation,"3000 Fenkell Ave, Detroit, MI 48238, USA","{'lat': 42.40316480000001, 'lng': -83.13080599999999}"
153,"FirstGroup America, Inc.","959 Cesar E Chavez Ave, Pontiac, MI 48340, USA","{'lat': 42.658382, 'lng': -83.31977499999999}"
