NAME,FullAddress,Geocodes,ADDRESS,COUNTY,CITY,STATE,ZIP,WEBSITE
Community Consolidated ...,283 El Paso Ln DU PAGE Carol Stream IL 60188-1736,,283 El Paso Ln,DU PAGE,Carol Stream,IL,60188-1736,
Board of Education of T...,1119 E 46th St COOK Chicago IL 60653-4403,,1119 E 46th St,COOK,Chicago,IL,60653-4403,
Community Unit School D---,305 S 9th St KANE Saint Charles IL 60174-2667,,305 S 9th St,KANE,Saint Charles,IL,60174-2667,D303.ORG
Board of Education of T...,535 E 35th St COOK Chicago IL 60616-4111,,535 E 35th St,COOK,Chicago,IL,60616-4111,
Community Consolidated ...,2800W Central Rd COOK Rolling Meadows IL 60008-2535,,2800W Central Rd,COOK,Rolling Meadows,IL,60008-2535,CCSD15.NET
Aladdin Knowledge Syste...,601 N Arlington Heights Rd LAKE Arlington Heights IL 60004-5661,,601 N Arlington Heights Rd,LAKE,Arlington Heights,IL,60004-5661,ECDCO.COM
Pocahontas Elementary S...,1200 Jr High Dr BOND Greenville IL 62246-4203,,1200 Jr High Dr,BOND,Greenville,IL,62246-4203,BCCU2.K12.IL.US
Ford Heights Sch Distri...,800 E 14th St COOK Chicago Heights IL 60411-2085,,800 E 14th St,COOK,Chicago Heights,IL,60411-2085,FORDHEIGHTS169.ORG
Butler Junior High Scho...,2801 York Rd DU PAGE Oak Brook IL 60523-2334,,2801 York Rd,DU PAGE,Oak Brook,IL,60523-2334,BUTLER53.COM
"Queen Bee Schools, Dist...",1629 President St DU PAGE Glendale Heights IL 60139-2017,,1629 President St,DU PAGE,Glendale Heights,IL,60139-2017,QUEENBEE16.ORG
Calhoun Comm Unit Sch D...,220 North Broad MACOUPIN Alton IL 62002,,220 North Broad,MACOUPIN,Alton,IL,62002,ROE40.COM
Harvey School District ...,16001 Lincoln Ave COOK Harvey IL 60426-4916,,16001 Lincoln Ave,COOK,Harvey,IL,60426-4916,HARVEY152.ORG
Board of Education of T...,5221 W Congress Pkwy COOK Chicago IL 60644-4823,,5221 W Congress Pkwy,COOK,Chicago,IL,60644-4823,CPS.K12.IL.US
Knoxville School Distri...,600 E Main St KNOX Knoxville IL 61448-1318,,600 E Main St,KNOX,Knoxville,IL,61448-1318,
Harlem Special Educatio...,344 Grand Ave WINNEBAGO Loves Park IL 61111-4511,,344 Grand Ave,WINNEBAGO,Loves Park,IL,61111-4511,HARLEM122.ORG
Central Catholic High S---,1201 Airport Rd MC LEAN Bloomington IL 61704-2534,,1201 Airport Rd,MC LEAN,Bloomington,IL,61704-2534,BLMCCHS.ORG
Plainfield Community Co...,23723 Getson Dr WILL Plainfield IL 60544-3001,,23723 Getson Dr,WILL,Plainfield,IL,60544-3001,LEARNINGCOMMUNITY202.ORG
St. Clair County Region...,21 Circle Dr ST CLAIR Fairview Heights IL 62208-1103,,21 Circle Dr,ST CLAIR,Fairview Heights,IL,62208-1103,DIST110.COM
Gardner C C School Dist...,PO Box 347 GRUNDY Gardner IL 60424-0347,,PO Box 347,GRUNDY,Gardner,IL,60424-0347,GGS.GRUNDY.K12.IL.US
